Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,18053222687.4126
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,15379509891.7196
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,194554483655.528
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,639000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3218419896.9641
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,79450688259.3664
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1661529629.62963
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,524819892360.176
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,12457940694.7395
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,3276184357.5419
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1427809041019.44
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,452582294972.775
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,47112470051.7701
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,12615800000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,39567978723.4043
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,321362752441.78
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,5629916200
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,60031173807.7196
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,542638913427.921
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2293250000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,14262408079.7014
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,7225977000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2583335721.20625
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,40287647930.4761
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,20484053868.9246
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,17031943186.1353
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1916933898038.36
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,13566908401.1864
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,66289266348.6504
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,15890066221.2882
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2667182199.51333
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2205099509.15987
