Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Afghanistan,AFG,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Albania,ALB,44.5800603046607
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Algeria,DZA,29.0130619390143
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,American Samoa,ASM,103.599374021909
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Andorra,AND,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Angola,AGO,25.541723496358
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Antigua and Barbuda,ATG,68.1846045477951
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Argentina,ARG,16.3258502050892
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Armenia,ARM,53.0802129926047
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Aruba,ABW,72.9607783956333
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Australia,AUS,21.8419745445958
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Austria,AUT,52.6757304983207
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Azerbaijan,AZE,37.5802826749238
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Bahamas, The",BHS,40.3641465463942
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bahrain,BHR,68.3599998924555
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bangladesh,BGD,19.8398437797492
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Barbados,BRB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belarus,BLR,68.9388489208633
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belgium,BEL,84.7946361610806
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belize,BLZ,49.1006213888586
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Benin,BEN,34.5209638714363
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bermuda,BMU,26.0761139981486
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bhutan,BTN,50.5500011526558
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bolivia,BOL,31.1211695675762
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bosnia and Herzegovina,BIH,56.4475276333556
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Botswana,BWA,43.2269600709101
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,14.2412038806757
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,British Virgin Islands,VGB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam,BRN,41.9648218869805
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bulgaria,BGR,63.100431152185
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burkina Faso,BFA,32.5167194817269
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burundi,BDI,20.9140481504705
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cabo Verde,CPV,60.0015305876965
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cambodia,KHM,62.9662580564288
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cameroon,CMR,21.8513494080099
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Canada,CAN,34.2744821243903
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cayman Islands,CYM,45.5292735739521
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central African Republic,CAF,33.7201700016618
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chad,TCD,38.0140712835805
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Channel Islands,CHI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chile,CHL,29.6480058934679
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,18.4536805657234
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Colombia,COL,20.6350331193542
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Comoros,COM,30.087130352257
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Dem. Rep.",COD,37.3662008854446
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Rep.",COG,38.372624484659
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Costa Rica,CRI,33.2068312404824
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cote d'Ivoire,CIV,23.3433087934287
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Croatia,HRV,49.9586073447811
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cuba,CUB,12.5607151085146
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Curacao,CUW,92.0228579057409
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cyprus,CYP,73.1124327895079
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Czechia,CZE,69.5319364042301
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Denmark,DNK,51.8306171211701
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Djibouti,DJI,143.778811648303
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominica,DMA,77.7672443720458
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominican Republic,DOM,28.5045350822178
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ecuador,ECU,24.4654772531205
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Egypt, Arab Rep.",EGY,27.9263640649779
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,El Salvador,SLV,46.69924310697
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Equatorial Guinea,GNQ,44.0311468985135
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eritrea,ERI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Estonia,EST,70.5847297075262
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eswatini,SWZ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ethiopia,ETH,22.8266990770053
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Faroe Islands,FRO,54.0561614716809
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fiji,FJI,55.4866241995596
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Finland,FIN,39.9943942562687
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,France,FRA,33.8842788890102
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,French Polynesia,PYF,44.0354941009849
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gabon,GAB,22.7375212062962
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Gambia, The",GMB,42.5242842292877
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Georgia,GEO,60.1521994975096
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Germany,DEU,36.6202679583694
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ghana,GHA,34.5036220155637
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gibraltar,GIB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greece,GRC,40.6071874522328
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greenland,GRL,45.3221117220578
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Grenada,GRD,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guam,GUM,53.7101305569327
