Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,2432.27670083336
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,13696.7885617842
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,13727.1266357859
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,55244.6554088177
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,7347.79993635052
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,24524.2137953887
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,24410.3919063335
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,12877.4937543553
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,39287.0195169703
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,50183.6898127634
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,56636.4953030539
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,15282.9995232298
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,34668.809181369
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,51993.1307818652
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,5490.15881865179
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,18551.1686491129
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,20026.0306698699
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,52466.7330784599
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,9527.70914005255
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,2965.30628143664
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,85978.2177227009
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,11969.5614973058
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,8952.58785283125
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,14858.5348129737
