Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,36743039
"Population, total",SP.POP.TOTL,Albania,ALB,2866376
"Population, total",SP.POP.TOTL,Algeria,DZA,42505035
"Population, total",SP.POP.TOTL,American Samoa,ASM,50908
"Population, total",SP.POP.TOTL,Andorra,AND,75162
"Population, total",SP.POP.TOTL,Angola,AGO,31297155
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,90926
"Population, total",SP.POP.TOTL,Argentina,ARG,44654882
"Population, total",SP.POP.TOTL,Armenia,ARM,2969000
"Population, total",SP.POP.TOTL,Aruba,ABW,108908
"Population, total",SP.POP.TOTL,Australia,AUS,24963258
"Population, total",SP.POP.TOTL,Austria,AUT,8840521
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9939771
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,392717
"Population, total",SP.POP.TOTL,Bahrain,BHR,1503091
"Population, total",SP.POP.TOTL,Bangladesh,BGD,163523103
"Population, total",SP.POP.TOTL,Barbados,BRB,280711
"Population, total",SP.POP.TOTL,Belarus,BLR,9438785
"Population, total",SP.POP.TOTL,Belgium,BEL,11427054
"Population, total",SP.POP.TOTL,Belize,BLZ,380226
"Population, total",SP.POP.TOTL,Benin,BEN,12383347
"Population, total",SP.POP.TOTL,Bermuda,BMU,63831
"Population, total",SP.POP.TOTL,Bhutan,BTN,759759
"Population, total",SP.POP.TOTL,Bolivia,BOL,11508368
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3387000
"Population, total",SP.POP.TOTL,Botswana,BWA,2299141
"Population, total",SP.POP.TOTL,Brazil,BRA,206107261
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,34657
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,437810
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7025037
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20438288
"Population, total",SP.POP.TOTL,Burundi,BDI,11859446
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,513415
"Population, total",SP.POP.TOTL,Cambodia,KHM,16274522
"Population, total",SP.POP.TOTL,Cameroon,CMR,24806383
"Population, total",SP.POP.TOTL,Canada,CAN,37072620
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,65941
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4878657
"Population, total",SP.POP.TOTL,Chad,TCD,16156531
"Population, total",SP.POP.TOTL,Channel Islands,CHI,164949
"Population, total",SP.POP.TOTL,Chile,CHL,18893191
"Population, total",SP.POP.TOTL,China,CHN,1402760000
"Population, total",SP.POP.TOTL,Colombia,COL,49024465
"Population, total",SP.POP.TOTL,Comoros,COM,771590
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,90047644
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5483118
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4957818
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,27464173
"Population, total",SP.POP.TOTL,Croatia,HRV,3988775
"Population, total",SP.POP.TOTL,Cuba,CUB,11227118
"Population, total",SP.POP.TOTL,Curacao,CUW,159336
"Population, total",SP.POP.TOTL,Cyprus,CYP,1270737
"Population, total",SP.POP.TOTL,Czechia,CZE,10629928
"Population, total",SP.POP.TOTL,Denmark,DNK,5793636
"Population, total",SP.POP.TOTL,Djibouti,DJI,1071882
"Population, total",SP.POP.TOTL,Dominica,DMA,68174
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10782053
"Population, total",SP.POP.TOTL,Ecuador,ECU,17049547
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,105682094
"Population, total",SP.POP.TOTL,El Salvador,SLV,6219807
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1616422
"Population, total",SP.POP.TOTL,Eritrea,ERI,3192760
"Population, total",SP.POP.TOTL,Estonia,EST,1321977
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1168929
"Population, total",SP.POP.TOTL,Ethiopia,ETH,112664152
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,50998
"Population, total",SP.POP.TOTL,Fiji,FJI,917180
"Population, total",SP.POP.TOTL,Finland,FIN,5515525
"Population, total",SP.POP.TOTL,France,FRA,67158348
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279815
"Population, total",SP.POP.TOTL,Gabon,GAB,2212318
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2399632
"Population, total",SP.POP.TOTL,Georgia,GEO,3726549
"Population, total",SP.POP.TOTL,Germany,DEU,82905782
"Population, total",SP.POP.TOTL,Ghana,GHA,30637585
"Population, total",SP.POP.TOTL,Gibraltar,GIB,34854
"Population, total",SP.POP.TOTL,Greece,GRC,10732882
"Population, total",SP.POP.TOTL,Greenland,GRL,56023
"Population, total",SP.POP.TOTL,Grenada,GRD,115691
"Population, total",SP.POP.TOTL,Guam,GUM,162679
"Population, total",SP.POP.TOTL,Guatemala,GTM,16845685
"Population, total",SP.POP.TOTL,Guinea,GIN,12704774
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1922168
"Population, total",SP.POP.TOTL,Guyana,GUY,791556
"Population, total",SP.POP.TOTL,Haiti,HTI,10962362
"Population, total",SP.POP.TOTL,Honduras,HND,9765210
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7452600
"Population, total",SP.POP.TOTL,Hungary,HUN,9775564
"Population, total",SP.POP.TOTL,Iceland,ISL,352721
"Population, total",SP.POP.TOTL,India,IND,1374659064
"Population, total",SP.POP.TOTL,Indonesia,IDN,269951846
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,86117998
"Population, total",SP.POP.TOTL,Iraq,IRQ,40265624
"Population, total",SP.POP.TOTL,Ireland,IRL,4867316
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83805
"Population, total",SP.POP.TOTL,Israel,ISR,8882800
"Population, total",SP.POP.TOTL,Italy,ITA,60421760
"Population, total",SP.POP.TOTL,Jamaica,JAM,2820097
"Population, total",SP.POP.TOTL,Japan,JPN,126811000
"Population, total",SP.POP.TOTL,Jordan,JOR,10462306
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18932727
